city,area,bathroom,parking spaces,animal,furniture,rooms
1,170,2,1,acept,furnished,3
1,120,2,2,acept,furnished,2
1,700,5,2,acept,furnished,4
1,270,7,2,acept,not furnished,5
1,40,1,0,acept,not furnished,1
1,640,4,4,acept,furnished,4
1,40,1,0,acept,not furnished,1
1,40,1,0,acept,not furnished,2
1,42,1,1,acept,furnished,1
1,62,1,0,acept,not furnished,1
1,106,3,2,not acept,furnished,2
1,103,2,1,acept,not furnished,3
1,360,5,3,acept,not furnished,3
1,113,1,2,acept,furnished,1
1,164,4,3,acept,not furnished,4
1,110,2,3,acept,not furnished,3
1,110,2,1,acept,furnished,2
1,136,3,1,acept,not furnished,4
0,65,1,1,acept,not furnished,1
1,62,1,1,not acept,not furnished,2
0,163,5,3,acept,not furnished,3
1,47,1,1,acept,not furnished,2
1,50,1,1,acept,not furnished,1
1,79,2,2,acept,furnished,3
1,250,3,2,not acept,furnished,3
1,50,1,1,acept,not furnished,2
1,150,3,2,acept,not furnished,3
0,76,1,0,acept,not furnished,2
1,72,2,1,acept,not furnished,2
1,35,1,1,acept,furnished,1
1,250,4,4,acept,not furnished,3
0,85,1,1,not acept,not furnished,3
0,60,1,1,acept,not furnished,1
0,47,1,1,acept,not furnished,2
1,104,3,2,not acept,furnished,3
0,203,1,2,acept,not furnished,3
1,136,2,1,acept,not furnished,3
1,53,1,1,acept,not furnished,1
1,400,3,2,acept,not furnished,4
1,40,1,1,acept,furnished,1
1,38,1,0,acept,not furnished,1
1,340,6,4,acept,furnished,4
0,134,3,2,not acept,not furnished,3
1,97,2,0,acept,furnished,2
1,90,1,0,not acept,not furnished,1
1,260,5,2,acept,furnished,4
1,66,1,0,acept,not furnished,2
1,92,1,1,not acept,not furnished,2
1,92,3,1,acept,furnished,3
1,155,4,2,acept,not furnished,3
1,30,1,0,not acept,not furnished,1
1,27,1,0,not acept,not furnished,1
1,175,3,2,acept,not furnished,4
1,326,4,4,acept,not furnished,3
1,236,5,4,acept,not furnished,4
0,119,1,1,acept,not furnished,3
1,23,1,0,acept,not furnished,1
1,260,4,4,not acept,not furnished,2
1,400,3,2,not acept,not furnished,3
1,87,1,2,acept,furnished,1
1,65,1,1,acept,not furnished,2
1,210,4,4,acept,furnished,3
1,250,4,2,acept,not furnished,3
1,155,2,3,acept,furnished,3
0,300,3,5,acept,not furnished,4
0,70,2,2,acept,not furnished,3
1,68,2,1,acept,not furnished,1
0,220,5,3,not acept,furnished,3
0,91,2,2,acept,not furnished,3
0,230,4,8,acept,not furnished,4
0,48,1,0,acept,not furnished,2
1,90,2,2,not acept,furnished,2
1,60,1,1,acept,furnished,1
1,450,4,3,acept,not furnished,4
1,16,1,0,not acept,not furnished,1
1,100,2,1,acept,not furnished,3
1,300,3,3,acept,not furnished,3
1,151,4,3,not acept,furnished,3
1,150,4,3,acept,furnished,3
1,57,1,1,acept,not furnished,2
1,30,1,1,not acept,furnished,1
0,53,1,1,acept,furnished,1
1,270,4,3,acept,not furnished,3
1,78,2,2,acept,furnished,2
1,20,1,0,not acept,furnished,1
1,140,2,1,acept,furnished,5
1,155,3,2,acept,furnished,3
1,118,2,4,acept,not furnished,3
0,235,4,3,acept,not furnished,4
1,400,4,4,acept,not furnished,4
1,80,2,1,not acept,not furnished,2
1,50,1,0,not acept,furnished,1
0,55,2,1,acept,not furnished,2
1,400,4,4,acept,not furnished,4
1,63,2,0,acept,not furnished,3
1,325,3,2,acept,not furnished,4
1,200,3,2,not acept,furnished,3
1,58,2,1,acept,furnished,2
1,180,2,3,acept,not furnished,3
1,159,2,0,acept,not furnished,3
1,420,3,4,acept,not furnished,4
1,88,1,2,acept,not furnished,3
0,70,1,1,acept,not furnished,3
1,246,5,4,not acept,not furnished,4
1,53,1,1,acept,not furnished,2
1,22,1,1,not acept,not furnished,1
1,80,1,0,acept,not furnished,1
1,30,1,1,acept,furnished,1
0,157,5,3,acept,not furnished,3
1,450,3,8,acept,furnished,3
1,90,2,0,acept,not furnished,3
1,88,1,0,not acept,not furnished,2
0,46,1,0,acept,furnished,1
1,189,2,2,acept,not furnished,4
1,49,1,1,not acept,not furnished,2
1,180,2,2,acept,not furnished,3
1,128,3,2,acept,not furnished,3
1,60,2,0,acept,not furnished,2
1,74,2,1,acept,not furnished,3
1,80,1,1,acept,not furnished,1
1,150,2,1,acept,not furnished,3
1,70,2,1,acept,not furnished,3
1,113,2,2,acept,not furnished,3
0,50,1,0,acept,not furnished,1
1,300,2,2,acept,furnished,4
1,140,3,1,acept,furnished,2
1,300,5,1,acept,furnished,4
1,350,4,8,not acept,not furnished,5
1,78,1,1,acept,not furnished,2
0,110,2,0,acept,furnished,2
1,423,5,7,acept,not furnished,4
1,110,1,0,acept,not furnished,1
1,136,4,2,acept,not furnished,2
1,56,1,1,acept,not furnished,2
1,20,1,0,acept,furnished,1
1,115,2,2,acept,not furnished,3
1,140,2,1,not acept,not furnished,2
1,64,1,1,acept,not furnished,2
1,60,1,1,acept,furnished,2
1,132,2,1,acept,not furnished,3
1,210,3,3,acept,not furnished,4
1,300,4,3,acept,furnished,4
1,130,2,2,acept,not furnished,3
1,108,4,2,acept,not furnished,2
1,75,2,1,acept,not furnished,2
1,250,3,3,acept,not furnished,3
0,55,1,0,acept,not furnished,1
1,129,2,3,not acept,furnished,3
1,158,4,3,acept,not furnished,4
1,100,3,2,acept,not furnished,3
1,130,2,3,acept,furnished,3
1,25,1,0,acept,not furnished,1
1,240,2,3,acept,not furnished,3
1,196,4,2,not acept,not furnished,3
1,39,1,1,acept,not furnished,1
0,46,1,1,acept,not furnished,2
1,120,2,0,acept,not furnished,3
1,270,2,3,acept,not furnished,2
1,700,10,0,acept,not furnished,4
0,462,7,4,acept,not furnished,4
1,35,1,1,acept,furnished,1
1,90,3,2,not acept,not furnished,3
1,98,2,2,acept,not furnished,3
1,159,2,1,acept,furnished,2
1,115,5,2,acept,not furnished,3
1,400,3,1,acept,not furnished,3
0,60,1,1,not acept,not furnished,2
1,220,4,3,acept,furnished,3
1,67,1,1,acept,not furnished,2
1,165,4,3,acept,not furnished,3
1,100,4,0,acept,not furnished,2
1,55,2,1,acept,not furnished,1
0,35,1,1,acept,not furnished,1
1,51,1,1,acept,furnished,1
1,73,2,1,acept,not furnished,2
1,320,5,4,acept,not furnished,5
1,35,1,1,acept,not furnished,1
1,46,1,0,acept,not furnished,1
0,350,3,4,not acept,not furnished,4
1,340,4,3,acept,not furnished,4
1,28,1,1,not acept,furnished,1
1,125,2,2,acept,furnished,3
1,44,1,1,acept,not furnished,1
1,95,1,1,acept,not furnished,2
1,310,4,3,acept,not furnished,3
1,48,1,0,acept,not furnished,2
1,30,4,2,acept,furnished,4
0,46,1,1,acept,not furnished,1
1,141,2,2,acept,not furnished,3
1,58,1,1,acept,not furnished,1
1,48,1,0,acept,not furnished,2
1,560,5,6,acept,not furnished,5
1,98,2,1,acept,not furnished,3
1,340,4,4,not acept,not furnished,3
1,224,4,3,acept,furnished,4
0,50,1,1,acept,not furnished,1
1,250,4,3,acept,not furnished,3
1,100,2,1,acept,not furnished,2
1,600,3,4,acept,not furnished,3
0,114,2,1,acept,not furnished,3
0,67,1,1,acept,not furnished,2
1,160,3,2,acept,furnished,4
1,130,2,1,acept,not furnished,2
1,114,1,1,acept,not furnished,1
1,52,1,1,acept,not furnished,2
1,31,1,0,acept,furnished,1
1,78,1,1,acept,not furnished,2
1,60,2,1,acept,furnished,2
1,40,1,0,acept,not furnished,1
1,145,4,3,acept,not furnished,4
1,127,3,2,acept,not furnished,2
1,330,5,4,acept,not furnished,4
0,180,3,1,not acept,not furnished,4
1,120,3,2,acept,furnished,4
1,40,1,1,not acept,furnished,1
1,160,4,2,acept,not furnished,4
0,130,2,2,acept,furnished,3
1,80,1,1,acept,not furnished,2
1,112,4,3,acept,not furnished,3
1,30,1,1,not acept,not furnished,1
1,184,3,3,acept,furnished,4
1,56,1,1,acept,furnished,2
1,40,1,1,not acept,furnished,1
1,65,2,1,acept,not furnished,2
1,146,2,2,acept,furnished,3
0,60,1,1,acept,not furnished,2
1,170,2,2,acept,furnished,3
1,240,4,4,acept,furnished,4
1,200,2,2,acept,furnished,4
1,69,1,1,acept,not furnished,2
1,224,4,2,acept,not furnished,3
1,109,2,2,acept,furnished,3
1,50,1,2,not acept,not furnished,2
0,59,1,1,acept,not furnished,2
1,162,3,3,not acept,furnished,2
0,93,2,1,acept,not furnished,3
1,580,6,6,acept,not furnished,6
1,216,4,2,acept,not furnished,3
1,90,1,0,not acept,not furnished,2
1,200,3,2,acept,not furnished,3
0,55,1,0,acept,not furnished,1
1,40,1,1,not acept,not furnished,1
1,87,3,2,not acept,furnished,3
1,60,1,0,acept,not furnished,2
1,70,2,1,acept,not furnished,3
1,243,3,2,acept,not furnished,2
1,78,1,2,not acept,furnished,1
1,103,1,0,acept,not furnished,2
1,72,2,1,not acept,not furnished,3
1,95,2,2,acept,not furnished,1
1,135,2,2,acept,not furnished,3
1,310,4,5,acept,not furnished,5
1,68,2,1,not acept,furnished,2
1,360,5,4,acept,not furnished,4
1,420,4,4,acept,not furnished,4
1,266,5,1,acept,furnished,3
1,172,4,3,acept,furnished,3
1,240,5,4,acept,not furnished,3
0,108,3,2,acept,not furnished,1
1,50,1,0,acept,furnished,1
1,180,3,2,acept,not furnished,3
0,380,6,3,acept,not furnished,4
1,125,4,0,not acept,not furnished,3
1,50,2,1,acept,not furnished,2
1,382,4,2,acept,not furnished,3
1,51,1,0,acept,not furnished,1
1,128,2,0,acept,not furnished,2
0,51,1,0,acept,not furnished,1
0,45,1,0,not acept,furnished,1
1,300,5,4,acept,furnished,4
1,180,1,0,acept,not furnished,3
1,120,2,1,acept,not furnished,3
1,87,2,0,acept,not furnished,3
1,116,2,2,not acept,furnished,2
1,200,2,1,acept,not furnished,4
1,556,7,4,acept,not furnished,6
0,62,2,2,acept,not furnished,2
1,63,2,1,acept,furnished,2
1,96,1,1,acept,furnished,3
1,61,2,1,acept,not furnished,2
1,266,5,4,acept,not furnished,4
0,48,1,0,not acept,furnished,1
1,33,1,0,acept,furnished,2
1,150,2,3,not acept,furnished,2
1,175,2,2,not acept,not furnished,3
1,108,4,0,acept,not furnished,3
1,100,5,4,acept,not furnished,4
1,81,1,1,acept,not furnished,1
1,29,1,0,acept,not furnished,1
1,60,2,1,acept,not furnished,2
1,70,1,1,acept,not furnished,2
1,130,2,0,acept,not furnished,2
1,83,2,2,acept,furnished,3
1,320,4,2,acept,furnished,3
0,87,2,1,acept,not furnished,3
1,240,3,1,acept,furnished,2
1,108,3,2,acept,not furnished,3
1,160,2,1,acept,not furnished,3
1,178,4,4,acept,not furnished,3
1,116,2,3,acept,furnished,3
1,82,2,1,acept,not furnished,2
1,72,1,1,acept,not furnished,2
1,160,2,2,acept,not furnished,3
1,230,4,3,not acept,not furnished,3
1,60,2,1,acept,furnished,2
1,50,1,0,acept,furnished,1
1,79,2,1,acept,furnished,2
0,94,1,1,acept,not furnished,3
1,200,3,6,acept,not furnished,3
1,60,2,1,acept,not furnished,2
1,98,2,2,acept,not furnished,3
0,75,1,1,acept,not furnished,2
1,190,3,2,acept,furnished,3
1,20,1,0,not acept,furnished,1
0,46,1,0,acept,not furnished,1
1,22,1,0,not acept,not furnished,1
1,49,1,0,acept,furnished,1
0,105,2,2,acept,not furnished,3
1,140,4,2,not acept,furnished,3
1,127,2,2,acept,not furnished,2
1,200,7,4,acept,furnished,4
1,100,2,2,acept,not furnished,3
1,200,2,2,acept,not furnished,2
1,300,6,6,acept,not furnished,4
1,25,1,0,acept,not furnished,1
1,160,2,2,acept,not furnished,3
1,145,1,2,acept,furnished,3
0,62,1,1,not acept,not furnished,1
0,50,1,1,acept,not furnished,1
0,74,1,1,acept,not furnished,3
1,190,3,2,acept,not furnished,3
0,326,3,4,acept,not furnished,3
1,240,4,4,acept,not furnished,4
1,40,1,0,not acept,furnished,1
1,42,1,1,not acept,not furnished,1
1,90,1,0,acept,not furnished,2
1,84,2,0,acept,furnished,1
1,70,1,1,acept,not furnished,2
1,110,2,2,acept,not furnished,3
1,110,2,3,acept,not furnished,3
1,90,2,1,acept,furnished,2
0,308,3,4,acept,not furnished,3
1,61,2,1,acept,not furnished,2
0,400,7,4,acept,not furnished,5
1,320,3,2,acept,not furnished,3
1,50,1,1,acept,not furnished,1
1,80,1,1,acept,furnished,1
1,44,1,0,not acept,furnished,1
1,130,2,0,acept,not furnished,5
1,400,6,0,acept,not furnished,5
1,130,1,1,acept,not furnished,2
1,96,3,1,acept,not furnished,3
1,57,2,2,acept,not furnished,2
1,240,3,2,acept,furnished,3
1,30,1,1,acept,not furnished,1
1,20,1,0,acept,furnished,1
1,45,1,0,acept,not furnished,2
1,250,5,2,acept,furnished,4
1,240,5,5,acept,not furnished,4
1,22,1,0,acept,not furnished,1
1,240,4,3,acept,not furnished,3
1,206,4,3,acept,not furnished,4
1,96,3,1,acept,not furnished,3
1,156,4,2,acept,not furnished,3
1,400,3,3,not acept,not furnished,3
0,60,1,1,acept,not furnished,2
0,37,1,0,not acept,furnished,1
1,73,2,2,acept,not furnished,2
1,182,4,3,acept,not furnished,3
1,300,4,1,acept,not furnished,3
1,48,1,0,not acept,not furnished,1
1,850,4,8,acept,not furnished,4
1,76,1,1,acept,not furnished,3
1,57,2,1,not acept,furnished,2
1,104,1,0,not acept,not furnished,2
1,65,3,2,acept,not furnished,3
1,64,1,0,acept,not furnished,2
1,31,1,0,acept,furnished,1
1,35,1,1,not acept,furnished,1
1,275,5,6,acept,furnished,3
1,310,5,5,acept,furnished,4
1,58,2,1,not acept,not furnished,2
1,55,1,0,acept,not furnished,2
1,53,2,1,acept,furnished,1
1,35,1,0,acept,not furnished,1
1,180,4,1,acept,not furnished,4
1,71,1,0,acept,not furnished,1
1,180,4,3,acept,furnished,3
1,900,9,8,acept,furnished,5
1,32,1,1,not acept,furnished,1
1,98,2,2,acept,not furnished,2
1,180,2,2,acept,not furnished,3
1,47,1,1,acept,not furnished,1
1,109,2,2,acept,not furnished,3
1,210,4,4,acept,not furnished,4
1,109,2,1,acept,not furnished,3
1,116,3,2,acept,not furnished,4
1,111,2,0,acept,not furnished,3
1,120,3,2,acept,furnished,3
1,178,3,2,acept,not furnished,4
1,39,1,1,acept,furnished,1
1,59,1,0,not acept,not furnished,1
1,54,2,1,acept,furnished,1
1,35,1,0,not acept,furnished,1
1,244,2,3,acept,furnished,3
1,170,2,2,acept,not furnished,3
1,300,3,8,acept,not furnished,3
1,35,1,0,not acept,not furnished,1
1,114,3,1,acept,not furnished,5
1,300,4,8,acept,not furnished,3
1,166,2,1,acept,not furnished,3
1,90,3,1,acept,not furnished,2
1,100,4,1,acept,not furnished,4
0,76,2,0,acept,not furnished,1
1,200,3,2,acept,not furnished,3
1,156,2,1,acept,not furnished,3
1,94,2,2,acept,not furnished,2
0,53,1,1,acept,not furnished,1
1,85,1,1,acept,furnished,2
1,50,1,1,acept,not furnished,2
1,127,3,2,not acept,not furnished,4
1,35,1,0,acept,not furnished,1
1,370,4,3,acept,not furnished,4
0,70,2,2,acept,furnished,2
1,700,8,8,acept,furnished,6
1,79,2,0,acept,furnished,2
1,46,1,1,acept,furnished,1
1,300,5,6,acept,furnished,4
1,62,2,1,acept,not furnished,2
1,296,5,3,acept,not furnished,4
1,40,1,0,acept,not furnished,1
1,52,1,1,not acept,furnished,1
1,58,2,1,acept,not furnished,2
0,123,2,2,acept,not furnished,3
0,80,1,1,acept,not furnished,2
1,170,2,1,acept,furnished,3
1,260,4,4,acept,not furnished,4
1,90,2,1,acept,furnished,2
1,190,2,1,not acept,not furnished,3
1,40,1,1,not acept,not furnished,1
1,120,2,0,not acept,not furnished,3
1,57,1,1,acept,furnished,1
0,70,1,1,acept,not furnished,1
1,120,3,2,acept,furnished,2
1,135,3,2,acept,furnished,3
1,300,6,5,acept,not furnished,4
1,36,1,1,acept,not furnished,1
1,33,1,0,not acept,not furnished,1
1,65,2,1,acept,not furnished,2
1,67,1,1,acept,not furnished,2
1,51,1,0,acept,furnished,1
1,38,1,0,acept,furnished,1
1,80,1,1,acept,not furnished,2
1,275,3,1,acept,furnished,3
1,33,1,1,acept,not furnished,1
1,40,1,1,not acept,not furnished,1
1,210,4,3,acept,not furnished,4
1,90,2,1,not acept,not furnished,2
1,260,4,3,not acept,not furnished,4
1,40,1,1,acept,furnished,1
1,50,1,0,acept,not furnished,1
0,50,1,1,not acept,not furnished,2
1,68,2,1,acept,not furnished,1
1,20,1,0,not acept,furnished,1
1,189,3,1,acept,not furnished,3
1,160,4,3,acept,furnished,4
0,60,2,1,acept,not furnished,2
1,440,2,4,acept,not furnished,3
1,220,5,4,acept,not furnished,5
1,33,1,1,acept,furnished,1
1,354,6,3,acept,not furnished,5
1,110,3,2,acept,not furnished,3
1,58,3,2,not acept,not furnished,2
1,600,6,6,acept,not furnished,4
1,56,1,1,acept,not furnished,2
0,100,1,3,acept,not furnished,2
